provider,product_or_area,incident_title,status,time_utc,time_local_label,details
Anthropic,Models (multiple),Elevated errors across many models,Investigating,2025-09-18T19:57:00Z,,Issue across many models started at 12:35 PT / 19:35 UTC.
Anthropic,Models (multiple),Elevated errors across many models,Identified,2025-09-18T20:32:00Z,,As of 13:30 PT / 20:30 UTC all models back to baseline except Claude Sonnet 3.5 (still high). All models affected except Sonnet 4.0.
Anthropic,Model output quality,Model output quality,Investigating,2025-09-09T00:15:00Z,,Investigating degraded quality; two separate issues found (see updates).
Anthropic,Model output quality,Model output quality,Update,2025-09-12T18:30:00Z,,Second issue also identified to impact Opus 3.
Anthropic,Model output quality,Model output quality,Monitoring,2025-09-12T18:40:00Z,,Root causes identified and mitigated; continuing to monitor.
Anthropic,Model output quality,Model output quality,Resolved,2025-09-17T20:38:00Z,,Incident resolved; technical postmortem published.
Anthropic,Model output quality,Resolved issue 1 window,Info,2025-09-12T18:40:00Z,,Sonnet 4 degraded quality due to bug from Aug 5–Sep 4 (impact rose Aug 29–Sep 4); fixed.
Anthropic,Model output quality,Resolved issue 2 window,Info,2025-09-12T18:40:00Z,,Bug affected Haiku 3.5 and Sonnet 4 from Aug 26–Sep 5; fixed.
Anthropic,Claude Sonnet 4.0,Elevated errors on Claude 4 Sonnet,Investigating,2025-09-16T07:02:00Z,,Issue started at 23:35 PT / 06:35 UTC.
Anthropic,Claude Sonnet 4.0,Elevated errors on Claude 4 Sonnet,Resolved,2025-09-16T08:32:00Z,,Errors back to baseline as of 01:05 PT / 08:05 UTC.
Anthropic,Claude.ai Artifacts,Problems loading Artifacts,Investigating,2025-09-16T00:57:00Z,,
Anthropic,Claude.ai Artifacts,Problems loading Artifacts,Resolved,2025-09-16T01:24:00Z,,Issue resolved; systems operating normally.
Anthropic,Opus 4.1,Elevated errors on Claude Opus 4.1 (wave 1),Investigating,2025-09-15T07:24:00Z,,Issue started at 23:15 PT / 06:15 UTC.
Anthropic,Opus 4.1,Elevated errors on Claude Opus 4.1 (wave 1),Update,2025-09-15T08:40:00Z,,Initial errors stopped at 00:40 PT / 07:40 UTC; restarted at 01:20 PT / 08:20 UTC.
Anthropic,Opus 4.1,Elevated errors on Claude Opus 4.1 (wave 1),Resolved,2025-09-15T09:15:00Z,,Mitigated as of 02:00 PT / 09:00 UTC.
Anthropic,Haiku 3.5,Elevated errors on Claude Haiku 3.5,Investigating,2025-09-15T11:07:00Z,,Issue started at 03:45 PT / 10:45 UTC.
Anthropic,Haiku 3.5,Elevated errors on Claude Haiku 3.5,Update,2025-09-15T11:12:00Z,,Previous message mistakenly referred to Opus 4.1; affected model is Haiku 3.5.
Anthropic,Haiku 3.5,Elevated errors on Claude Haiku 3.5,Update,2025-09-15T12:24:00Z,,Incident marked resolved as of 04:30 PT / 11:30 UTC.
Anthropic,Haiku 3.5,Elevated errors on Claude Haiku 3.5,Resolved,2025-09-15T12:25:00Z,,
Anthropic,Opus 4.1,Elevated errors on Claude Opus 4.1 (wave 2),Investigating,2025-09-15T11:22:00Z,,Repeat of earlier incident; started at 04:10 PT / 11:10 UTC.
Anthropic,Opus 4.1,Elevated errors on Claude Opus 4.1 (wave 2),Resolved,2025-09-15T12:25:00Z,,Resolved as of 05:10 PT / 12:10 UTC.
Anthropic,Sonnet 3.7,Elevated errors on Claude Sonnet 3.7,Resolved,2025-09-12T22:40:00Z,,Errors from 15:40–15:51 PT (22:40–22:41 UTC); resolved.
Anthropic,Opus 4.1,Elevated errors on Claude Opus 4.1,Investigating,2025-09-11T13:27:00Z,,Issue started at 06:10 PT / 13:10 UTC.
Anthropic,Opus 4.1,Elevated errors on Claude Opus 4.1,Resolved,2025-09-11T14:29:00Z,,Errors returned to baseline as of 07:05 PT / 14:05 UTC.
Anthropic,Claude.ai / Console / API,APIs, Console, and Claude.ai services impacted,Identified,2025-09-10T16:28:00Z,,APIs, Console, and Claude.ai down; fix being implemented.
Anthropic,Claude.ai / Console / API,APIs, Console, and Claude.ai services impacted,Update,2025-09-10T16:37:00Z,,Monitoring fix in progress.
Anthropic,Claude.ai / Console / API,APIs, Console, and Claude.ai services impacted,Update,2025-09-10T16:55:00Z,,Continuing to monitor services.
Anthropic,Claude.ai / Console / API,APIs, Console, and Claude.ai services impacted,Monitoring,2025-09-10T17:15:00Z,,
Anthropic,Claude.ai / Console / API,APIs, Console, and Claude.ai services impacted,Monitoring,2025-09-10T17:30:00Z,,
Anthropic,Claude.ai / Console / API,APIs, Console, and Claude.ai services impacted,Resolved,2025-09-10T17:36:00Z,,Incident resolved.
Anthropic,Claude.ai,Claude.ai services impacted,Resolved,2025-09-10T21:00:00Z,,Resolved and monitoring.
Anthropic,Sonnet 4.0,Elevated errors on Claude Sonnet 4.0,Investigating,2025-09-10T07:32:00Z,,Issue started at 23:53 PT / 06:53 UTC.
