"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"System Outage Fragility for Power Systems: A Robust Data-Driven Framework for Disparity Analysis Using Multiple Hurricane Events","https://scispace.com/paper/system-outage-fragility-for-power-systems-a-robust-data-3nnrm5gzfxbp","","","","Alexys H Rodriguez A
Abdollah Shafieezadeh
Alper Yilmaz","10.1016/j.ijdrr.2025.105240","","This study introduces System Outage Fragility (SOF), a novel and robust data-driven framework for analyzing power system disparities by capturing system trends and behaviors across multiple extreme climatic events including hurricanes. Compared to traditional single-event metrics, SOF provides a comprehensive assessment of spatial vulnerabilities and system fragility by accounting for diverse hazard intensities, physical impacts, and outage dynamics, offering deeper insights into outage dynamics and hazard impacts. SOF is applied to power system outages at the county level in Florida for 11 hurricanes from 2017 to 2022, providing valuable insights into the disparities across different utility providers—Investor-Owned, Municipal, and Rural. The analysis reveals that the most fragile counties are Washington, Hardee, Calhoun, and Holmes, while Osceola and Santa Rosa demonstrate the highest resilience. On average, 22% and 76% of counties of All providers reach 50% of the maximum power outages under ERA5 averaged-area wind speeds of 15 to 30 m/s and 30 to 45 m/s, respectively, indicating a potentially significant hurricane vulnerability. The study identifies two high-fragility clusters in the northwest and southern central regions and two high-robustness clusters in the central and southeast regions, with intermediate fragility elsewhere. The potential of SOF for advancing disparity studies is discussed, underscoring the need for multi-event, data-driven approaches to assess energy inequalities in the face of natural hazards.","This study introduces System Outage Fragility (SOF), a data-driven framework analyzing power system disparities across multiple hurricane events, providing a comprehensive assessment of spatial vulnerabilities and system fragility in Florida's power systems from 2017 to 2022."
"Optimizing Distribution Grid Performance through Electric Vehicle Integration and Stochastic Modeling in Extreme Weather Conditions","https://scispace.com/paper/optimizing-distribution-grid-performance-through-electric-3bffh708nz9d","2025","Journal Article","iranica journal of energy and environment","","10.5829/ijee.2025.16.03.15","","This paper presents an innovative method for operational planning of micro grids, focusing on improving economic performance and enhancing resilience. The proposed approach addresses key uncertainties, including weather conditions, probabilistic charging/discharging behavior of electric vehicles (EVs), and integration of renewable energy sources, energy price fluctuations, and load conditions. Additionally, it considers EV owners' satisfaction and demand-side management. A key innovation of this research is the development of a comprehensive framework for simultaneously managing network topology reconfiguration, EV movement within the network, and mitigating the impacts of adverse weather conditions. Monte Carlo simulation is employed to model uncertainties, while a multi-objective optimization algorithm is used to solve the problem. This algorithm aims to maximize the profits of network operators and the private sector while minimizing unsupplied energy and its associated penalties. The proposed method demonstrates significant improvements, including a 37.1% reduction in unsupplied energy costs, a 5% increase in network operators' profits, and a 23.1% boost in EV charging station profits. Overall, the method outperforms existing approaches by approximately 8%. The proposed method offers an effective and robust solution for improving micro grid resilience and operational efficiency under extreme weather conditions, showcasing its superiority over traditional approaches. ","This paper presents a comprehensive framework for optimizing micro grid performance under extreme weather conditions, integrating electric vehicles, renewable energy, and demand-side management, achieving 37.1% reduction in unsupplied energy costs and 5% increase in network operators' profits."
"Comparative analysis of two episodes of strongly geoeffective CME events
  in November and December 2023","https://scispace.com/paper/comparative-analysis-of-two-episodes-of-strongly-2sojeq7d4rb9","2025","Journal Article","","Manuela Temmer
Mateja Dumbović
Karmen Martinić
G. M. Cappello
Akshay Kumar Remeshan
Filip Matkovic
Daniel Milosic
Florian Koller
Jaša Čalogović
Roberto Susino
M. Romoli","10.48550/arxiv.2501.14295","","In autumn 2023, a series of closely timed eruptive events were observed remotely and measured in situ. We studied analogous solar events, where several CMEs were launched partly from the same (active) regions near a CH. These events occurred in two episodes, separated by a full solar rotation, covering October 31-November 3 and November 27-28, 2023. Both episodes are linked to strong geomagnetic storms on November 4-5 and December 1-2, 2023. We aim to understand the complexity of these events and how the global magnetic field, solar wind conditions, and structural interactions relate to the observed geomagnetic effects. Using the GCS 3D reconstruction method, we derived each CME's motion direction and speed. These results were input into the DBM with enhanced latitudinal information (3D DBM), aiding in connecting in-situ measurements with solar surface structures for integrated interpretation. The first episode caused SAR arcs, with a three-step Dst index drop to -163 nT on November 5, 2023. Two CME-related shocks arrived close in time, separated by a SBC, followed by a short-duration flux rope-like structure. The second episode saw auroral lights and a two-step Dst index drop to -108 nT on December 1, 2023. A shock from one CME interacted with the magnetic structure of a preceding CME, again combined with an SBC. A clear flux rope structure from the shock-producing CME was detected. Both events showed distinct magnetic field 'ripples' and fluctuations in density and temperature following the SBC. This study compares two episodes of multiple eruptive events in November and December 2023. Interacting CME structures and SBC-related magnetic modulations contributed to the stronger geomagnetic impacts, particularly in the November 4-5, 2023 event. The highly tilted heliospheric current sheet may have further influenced the CMEs' impact at Earth. ","This study compares two episodes of strongly geoeffective CME events in November and December 2023, analyzing their impact on geomagnetic storms, solar wind conditions, and structural interactions, revealing distinct magnetic field ripples and fluctuations."
"On the Dependability of Bidirectional Encoder Representations from Transformers (BERT) to Soft Errors","https://scispace.com/paper/on-the-dependability-of-bidirectional-encoder-6h0qcypv2gef","2025","Journal Article","IEEE Transactions on Nanotechnology","Zhen Gao
Z.D. Yin
Jingyan Wang
Rui Su
Jie Deng
Qiang Liu
Pedro Reviriego
Shanshan Liu
Fabrizio Lombardi","10.1109/tnano.2025.3531721","","—Transformers are widely used in natural language processing and computer vision, and Bidirectional Encoder Representations from Transformers (BERT) is one of the most popular pre-trained transformer models for many applications. This paper studies the dependability and impact of soft errors on BERT implemented with different floating-point formats using two case studies: sentence emotion classification and question & answering. Simulation by error injection is conducted to assess the impact of errors on different parts of the BERT model and different bits of the parameters. The analysis of the results leads to the following findings: 1) in both single and half precision, there is a Critical Bit (CB) on which errors significantly affect the performance of the model; 2) in single precision, errors on the CB may cause overflow in many cases, which leads to a fixed result regardless of the input; 3) in half precision, the errors do not cause overflow but they may still introduce a large accuracy loss. In general, the impact of errors is significantly larger in single-precision than half-precision parameters. Error propagation analysis is also considered to further study the effects of errors on different types of parameters and reveal the mitigation effects of the activation function and the intrinsic redundancy of BERT.","This study assesses the dependability of BERT to soft errors using simulation and error injection, finding significant impact on single-precision parameters, with critical bit errors causing overflow and accuracy loss, particularly in sentence emotion classification and question-answering tasks."
"AI-Enabled Operations at Fermi Complex: Multivariate Time Series
  Prediction for Outage Prediction and Diagnosis","https://scispace.com/paper/ai-enabled-operations-at-fermi-complex-multivariate-time-2j8zl2zb4b2i","2025","Journal Article","","Milan Jain
Burcu O. Mutlu
Cornelis J. Stam
J. Strube
Brian Schupbach
Jisha John
W. Pellico","10.48550/arxiv.2501.01509","","The Main Control Room of the Fermilab accelerator complex continuously gathers extensive time-series data from thousands of sensors monitoring the beam. However, unplanned events such as trips or voltage fluctuations often result in beam outages, causing operational downtime. This downtime not only consumes operator effort in diagnosing and addressing the issue but also leads to unnecessary energy consumption by idle machines awaiting beam restoration. The current threshold-based alarm system is reactive and faces challenges including frequent false alarms and inconsistent outage-cause labeling. To address these limitations, we propose an AI-enabled framework that leverages predictive analytics and automated labeling. Using data from $2,703$ Linac devices and $80$ operator-labeled outages, we evaluate state-of-the-art deep learning architectures, including recurrent, attention-based, and linear models, for beam outage prediction. Additionally, we assess a Random Forest-based labeling system for providing consistent, confidence-scored outage annotations. Our findings highlight the strengths and weaknesses of these architectures for beam outage prediction and identify critical gaps that must be addressed to fully harness AI for transitioning downtime handling from reactive to predictive, ultimately reducing downtime and improving decision-making in accelerator management. ","This study proposes an AI-enabled framework for predicting beam outages and diagnosing causes at Fermilab's accelerator complex, leveraging predictive analytics and automated labeling to improve downtime handling and decision-making in accelerator management."
"Into the Next Generation of Digital Protection: Ai Resiliency As a Public Responsibility","https://scispace.com/paper/into-the-next-generation-of-digital-protection-ai-resiliency-igw362bxbcn0","","","","Eli Noam","10.1016/j.telpol.2025.102907","","Even as the reliability of networks has risen, their control mechanisms up in the hierarchy of digital activities have become more vulnerable. Artificial intelligence algorithms are increasingly embedded in infrastructure and economic systems and their resiliency is essential for social and economic stability. This has led to widespread dystopic fears and defensive regulations, ignoring the considerable positives of AI-enhanced activities and institutions. AI resiliency problems include hardware failures, natural calamities, human error, software defects, and external attacks. AI networks of AI networks have emerged with high interdependence and complexity. Operations are often non-transparent ‘black boxes’ operating at lightning speeds, and hard to oversee or fix by humans. Most likely is a control of AI by other AI. This raises the question of human responsibility. The article examines various responses, including technology tools, managerial actions, self-regulation, and a role for government. The latter include rules evolving with technology and applications in a dynamic common law approach for liability, transparency, performance, market structure, interoperation, and more. Needed are principles for a ‘shared intelligence’ of humans with AI, with clear protocols for human overrides of AI. All this raises a new agenda for policymakers, managers, and researchers.","As AI is increasingly embedded in critical infrastructure, its resiliency is crucial for social and economic stability, but its complexity and opacity raise concerns about human responsibility, control, and liability, necessitating a new agenda for policymakers and researchers."
"Intelligent information systems for power grid fault analysis by computer communication technology","https://scispace.com/paper/intelligent-information-systems-for-power-grid-fault-6lii209pam9l","2025","Journal Article","Energy Informatics","Ronglong Xu
Jing Zhang","10.1186/s42162-024-00465-6","","This study aims to enhance the intelligence level of power grid fault analysis to address increasingly complex fault scenarios and ensure grid stability and security. To this end, an intelligent information system for power grid fault analysis, leveraging improved computer communication technology, is proposed and developed. The system incorporates a novel fault diagnosis model, combining advanced communication technologies such as distributed computing, real-time data transmission, cloud computing, and big data analytics, to establish a multi-layered information processing architecture for grid fault analysis. Specifically, this study introduces a fusion model integrating Transformer self-attention mechanisms with graph neural networks (GNNs) based on conventional fault diagnosis techniques. GNNs capture the complex relationships between different nodes within the grid topology, effectively identifying power transmission characteristics and fault propagation paths across grid nodes. The Transformer's self-attention mechanism processes time-series operational data from the grid, enabling precise identification of temporal dependencies in fault characteristics. To improve system response speed, edge computing moves portions of fault data preprocessing and analysis to edge nodes near data sources, significantly reducing transmission latency and enhancing real-time diagnosis capability. Experimental results demonstrate that the proposed model achieves superior diagnostic performance across various fault types (e.g., short circuits, overloads, equipment failures) in simulation scenarios. The system achieves a fault identification and location accuracy of 99.2%, an improvement of over 10% compared to traditional methods, with an average response time of 85 milliseconds, approximately 43% faster than existing technologies. Moreover, the system exhibits strong robustness in complex scenarios, with an average fault prediction error rate of just 1.1% across multiple simulations. This study provides a novel solution for intelligent power grid fault diagnosis and management, establishing a technological foundation for smart grid operations. ","This study proposes an intelligent information system for power grid fault analysis, leveraging computer communication technology, incorporating a novel fault diagnosis model that combines Transformer self-attention mechanisms with graph neural networks for enhanced diagnostic performance and real-time capability."
"The Application of Support Vector Machine (SVM) and AI in Enhancing Disaster Management","https://scispace.com/paper/the-application-of-support-vector-machine-svm-and-ai-in-5r9oj1qmgiuz","2025","Repository","Social Science Research Network","Akash Sharma
Tanya Rawal
Shipra Agarwal
Aditaya Aditaya","10.2139/ssrn.5076167","","The practice of anticipating, adapting to, and rebuilding from either man-made or natural catastrophes with the goal of avoiding the impact they have on individuals, assets, and the environment is known as disaster management. It consists of several stages and activities designed to reduce susceptibility, boost resilience, and enable effective response and recovery operations. Managing disasters entails allocating resources and dividing up work to reduce risk and damage. This essay examines the difficulties that organizations encounter and how disasters affect business. It is also aware of how machine learning is applied to disaster relief efforts during natural disasters. The study's objective is to determine whether companies are equipped to handle emergencies. After that, it creates maps and alerts that are shared with communities and local authorities, providing them with vital time to prepare and respond. Reaction to Disasters As natural disasters occur more frequently, prompt and effective responses are crucial. By processing vast volumes of data rapidly and correctly, artificial intelligence (AI) is transforming these answers from a traditionally reactive procedure to a proactive, data-driven approach. IBM's PAIRS Gyroscope, a unique cloud-based geospatial analytics tool, serves as the best example of this. AI is employed in satellite picture processing and disaster damage assessment. Utilizing this current information, disaster response teams may plan and prioritize locations that need immediate attention, which boosts their efficacy and efficiency significantly. Recovery planning is aided by the system's identification of disaster-prone areas. ","This study explores the application of Support Vector Machine (SVM) and AI in enhancing disaster management, leveraging machine learning to create maps and alerts for communities and authorities, and transforming disaster responses from reactive to proactive, data-driven approaches."
"Artificial Intelligence, Data Centers, Energy Capabilities, and International Security: An Exploratory Analysis","https://scispace.com/paper/artificial-intelligence-data-centers-energy-capabilities-and-66cj786t0liz","2025","Journal Article","Armed Forces & Society","Lance Y. Hunter","10.1177/0095327x241308839","","Previous valuable scholarship has examined how data centers affect the development and use of artificial intelligence (AI) technology. Additional research has analyzed how energy consumption and energy efficiency impact data centers. However, less scholarship has considered how data centers, energy capabilities (energy production and energy efficiency), and AI development interact to affect international security. Thus, this exploratory study considers the relationship between data centers, energy capabilities, and AI development and analyzes their potential impact on power distribution in the international system. In doing so, the study develops four indices to capture influential factors related to AI development and security. The study highlights the important role data centers, energy capabilities, and AI development may play in shaping the international balance of power and global security. ","This exploratory study examines the interplay between data centers, energy capabilities, and AI development, developing four indices to analyze their impact on international security and power distribution, highlighting their potential role in shaping global security."
"Leveraging Artificial Intelligence for Enhancing the Resilience and Security of Critical Infrastructures in the United States","https://scispace.com/paper/leveraging-artificial-intelligence-for-enhancing-the-5afjrqfxemkl","2025","Journal Article","European journal of computer science and information technology","Peter Pepple
Ambrose Sunny Okorie
Patrick Adeel","10.37745/ejcsit.2013/vol13n11632","","In the rapidly evolving landscape of global security, the United States faces increasingly sophisticated threats to its critical infrastructures and national security. These threats emanate from state and non-state actors employing advanced technologies to disrupt, degrade, and destroy essential systems. In response, Artificial Intelligence (AI) has emerged as a powerful tool for enhancing the resilience and defense mechanisms for critical infrastructures operation. This research paper explores the potential and application of AI in safeguarding the nation's critical assets, including energy grids, transportation networks, gas &amp; oil pipelines, communication systems, financial institutions, water supply systems, healthcare databases, IT networks, and air traffic control systems. By leveraging machine learning algorithms, predictive analytics, and anomaly detection techniques, AI can identify and mitigate vulnerabilities in real-time, preemptively countering cyber-attacks, physical sabotage, and air traffic control disruptions. Additionally, AI-driven systems bolster cybersecurity, ensuring the resilience and security of vital US systems against emerging cyber threats. Furthermore, AI enhances decision-making capabilities, providing security agencies with actionable intelligence and situational awareness, while also contributing to overall security enhancements. This paper examines the ethical considerations, challenges, and future directions of integrating AI into national security frameworks. Through a comprehensive analysis, this study underscores the vital role of AI in fortifying the United States' critical infrastructures against the growing array of adversarial threats. ","This research explores AI's potential in enhancing US critical infrastructure resilience and security against cyber threats, physical sabotage, and air traffic control disruptions, leveraging machine learning, predictive analytics, and anomaly detection techniques for real-time vulnerability identification and mitigation."
